thisRow.t,notes,block,Trialtype,withinblocktrial,RTdec,resp,cor,dots direction,cor_resp,coherence,scale,SR_conf,RTrating,interval,interTrial.interval,subject,age,gender,handedness,
,,3,Main,43,1.1957409999995434,up,1,90,up,0.2524489795918367,control,0.10000000000000009,2.7193125000012515,2.8370758988843674,2.0037073222583652,0,22,M,R,
,,3,Main,44,0.817144399999961,down,1,270,down,0.19183673469387755,control,0.0,0.9750983999983873,1.6676661612747348,2.0609575959336337,0,22,M,R,
,,3,Main,45,0.7928776000007929,down,1,270,down,0.13122448979591836,control,0.06000000000000005,1.1066304999985732,4.131137712601131,2.377718326982881,0,22,M,R,
,,4,Main,0,0.8591220999987854,down,1,270,down,0.09081632653061224,conf,-0.16000000000000003,1.0745986000001722,4.396832543789632,2.7990774079513945,0,22,M,R,
,,4,Main,1,0.8210202999980538,up,1,90,up,0.05040816326530612,conf,0.0,0.47040449999985867,3.7441890208446904,2.9252835399582464,0,22,M,R,
,,4,Main,2,0.8117228000010073,down,1,270,down,0.19183673469387755,conf,0.0,0.9543899000018428,2.234715484415163,1.0789438472357897,0,22,M,R,
,,4,Main,3,0.6893127000003005,up,1,90,up,0.2120408163265306,control,0.1200000000000001,0.7830156999989413,1.6667710467656955,2.7800112902139826,0,22,M,R,
,,4,Main,4,0.606337799999892,down,1,270,down,0.1716326530612245,conf,0.19999999999999996,1.0929563000026974,4.775742116001924,1.9752989105631107,0,22,M,R,
,,4,Main,5,0.6606136999980663,down,1,270,down,1.0,conf,0.96,0.8229357999989588,3.701095762543052,2.5187627673371487,0,22,M,R,
,,4,Main,6,0.9605704999994487,up,1,90,up,0.09081632653061224,conf,0.1200000000000001,0.7472806000005221,4.426682520643937,2.18261893021065,0,22,M,R,
,,4,Main,7,0.6685861999976623,up,1,90,up,0.9595918367346938,conf,0.96,1.0326795999972092,4.764653000196249,2.735617048383359,0,22,M,R,
,,4,Main,8,0.6004291999997804,down,1,270,down,0.9797959183673469,conf,0.9199999999999999,1.2526268000001437,3.7615433427699028,3.4105024629161735,0,22,M,R,
,,4,Main,9,0.7787003000012191,up,1,90,up,0.01,conf,-0.040000000000000036,0.6929056000008131,2.6633570209576805,3.4547360977521593,0,22,M,R,
,,4,Main,10,0.8317697999991651,down,1,270,down,0.9797959183673469,conf,0.8799999999999999,1.0066144000011263,2.051617824973678,1.3052459784406012,0,22,M,R,
,,4,Main,11,0.7977581999984977,up,1,90,up,0.19183673469387755,conf,0.0,0.3858788999968965,4.004658637455081,2.531860259198097,0,22,M,R,
